Year,Alabama,Alaska *,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Far West *,Florida,Georgia,Great Lakes,Hawaii *,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Mideast,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New England,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Plains,Rhode Island,Rocky Mountain,South Carolina,South Dakota,Southeast,Southwest,Tennessee,Texas,United States *,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Source
2023,48945,65943,56293,52282,69140,70179,76114,58787,89538,67723,60972,52880,57344,58283,52972,63018,54717,56552,59102,49744,53626,58110,64681,76107,54612,66579,63250,45805,55935,57099,64211,58565,71982,69821,71166,49969,68435,54995,65240,54915,55465,58633,60812,59921,59820,62821,51274,66607,55908,58579,56938,60147,61291,56039,59456,64506,71225,48076,57829,72699,https://apps.bea.gov/iTable/?reqid=70&step=30&isuri=1&major_area=0&area=xx&year=-1&tableid=21&category=421&area_type=0&year_end=-1&classification=non-industry&state=0&statistic=3&yearbegin=-1&unit_of_measure=levels#eyJhcHBpZCI6NzAsInN0ZXBzIjpbMSwyOSwyNSwzMSwyNiwzMCwzMF0sImRhdGEiOltbIm1ham9yX2FyZWEiLCIwIl0sWyJhcmVhIixbIlhYIl1dLFsieWVhciIsWyItMSJdXSxbInRhYmxlaWQiLCIyMSJdLFsieWVhcl9lbmQiLCItMSJdLFsic3RhdGUiLFsiMCJdXSxbInN0YXRpc3RpYyIsIjMiXSxbInllYXJiZWdpbiIsIi0xIl0sWyJ1bml0X29mX21lYXN1cmUiLCJMZXZlbHMiXV78
2023,48945,65943,56293,52282,69140,70179,76114,58787,89538,67723,60972,52880,57344,58283,52972,63018,54717,56552,59102,49744,53626,58110,64681,76107,54612,66579,63250,45805,55935,57099,64211,58565,71982,69821,71166,49969,68435,54995,65240,54915,55465,58633,60812,59921,59820,62821,51274,66607,55908,58579,56938,60147,61291,56039,59456,64506,71225,48076,57829,72699,https://apps.bea.gov/iTable/?reqid=70&step=30&isuri=1&major_area=0&area=xx&year=-1&tableid=21&category=421&area_type=0&year_end=-1&classification=non-industry&state=0&statistic=3&yearbegin=-1&unit_of_measure=levels#eyJhcHBpZCI6NzAsInN0ZXBzIjpbMSwyOSwyNSwzMSwyNiwzMCwzMF0sImRhdGEiOltbIm1ham9yX2FyZWEiLCIwIl0sWyJhcmVhIixbIlhYIl1dLFsieWVhciIsWyItMSJdXSxbInRhYmxlaWQiLCIyMSJdLFsieWVhcl9lbmQiLCItMSJdLFsic3RhdGUiLFsiMCJdXSxbInN0YXRpc3RpYyIsIjMiXSxbInllYXJiZWdpbiIsIi0xIl0sWyJ1bml0X29mX21lYXN1cmUiLCJMZXZlbHMiXV48
2023,48945,65943,56293,52282,69140,70179,76114,58787,89538,67723,60972,52880,57344,58283,52972,63018,54717,56552,59102,49744,53626,58110,64681,76107,54612,66579,63250,45805,55935,57099,64211,58565,71982,69821,71166,49969,68435,54995,65240,54915,55465,58633,60812,59921,59820,62821,51274,66607,55908,58579,56938,60147,61291,56039,59456,64506,71225,48076,57829,72699,https://apps.bea.gov/iTable/?reqid=70&step=30&isuri=1&major_area=0&area=xx&year=-1&tableid=21&category=421&area_type=0&year_end=-1&classification=non-industry&state=0&statistic=3&yearbegin=-1&unit_of_measure=levels#eyJhcHBpZCI6NzAsInN0ZXBzIjpbMSwyOSwyNSwzMSwyNiwzMCwzMF0sImRhdGEiOltbIm1ham9yX2FyZWEiLCIwIl0sWyJhcmVhIixbIlhYIl1dLFsieWVhciIsWyItMSJdXSxbInRhYmxlaWQiLCIyMSJdLFsieWVhcl9lbmQiLCItMSJdLFsic3RhdGUiLFsiMCJdXSxbInN0YXRpc3RpYyIsIjMiXSxbInllYXJiZWdpbiIsIi0xIl0sWyJ1bml0X29mX21lYXN1cmUiLCJMZXZlbHMiXV46
2023,48945,65943,56293,52282,69140,70179,76114,58787,89538,67723,60972,52880,57344,58283,52972,63018,54717,56552,59102,49744,53626,58110,64681,76107,54612,66579,63250,45805,55935,57099,64211,58565,71982,69821,71166,49969,68435,54995,65240,54915,55465,58633,60812,59921,59820,62821,51274,66607,55908,58579,56938,60147,61291,56039,59456,64506,71225,48076,57829,72699,https://apps.bea.gov/iTable/?reqid=70&step=30&isuri=1&major_area=0&area=xx&year=-1&tableid=21&category=421&area_type=0&year_end=-1&classification=non-industry&state=0&statistic=3&yearbegin=-1&unit_of_measure=levels#eyJhcHBpZCI6NzAsInN0ZXBzIjpbMSwyOSwyNSwzMSwyNiwzMCwzMF0sImRhdGEiOltbIm1ham9yX2FyZWEiLCIwIl0sWyJhcmVhIixbIlhYIl1dLFsieWVhciIsWyItMSJdXSxbInRhYmxlaWQiLCIyMSJdLFsieWVhcl9lbmQiLCItMSJdLFsic3RhdGUiLFsiMCJdXSxbInN0YXRpc3RpYyIsIjMiXSxbInllYXJiZWdpbiIsIi0xIl0sWyJ1bml0X29mX21lYXN1cmUiLCJMZXZlbHMiXV45
2023,48945,65943,56293,52282,69140,70179,76114,58787,89538,67723,60972,52880,57344,58283,52972,63018,54717,56552,59102,49744,53626,58110,64681,76107,54612,66579,63250,45805,55935,57099,64211,58565,71982,69821,71166,49969,68435,54995,65240,54915,55465,58633,60812,59921,59820,62821,51274,66607,55908,58579,56938,60147,61291,56039,59456,64506,71225,48076,57829,72699,https://apps.bea.gov/iTable/?reqid=70&step=30&isuri=1&major_area=0&area=xx&year=-1&tableid=21&category=421&area_type=0&year_end=-1&classification=non-industry&state=0&statistic=3&yearbegin=-1&unit_of_measure=levels#eyJhcHBpZCI6NzAsInN0ZXBzIjpbMSwyOSwyNSwzMSwyNiwzMCwzMF0sImRhdGEiOltbIm1ham9yX2FyZWEiLCIwIl0sWyJhcmVhIixbIlhYIl1dLFsieWVhciIsWyItMSJdXSxbInRhYmxlaWQiLCIyMSJdLFsieWVhcl9lbmQiLCItMSJdLFsic3RhdGUiLFsiMCJdXSxbInN0YXRpc3RpYyIsIjMiXSxbInllYXJiZWdpbiIsIi0xIl0sWyJ1bml0X29mX21lYXN1cmUiLCJMZXZlbHMiXV44
2023,48945,65943,56293,52282,69140,70179,76114,58787,89538,67723,60972,52880,57344,58283,52972,63018,54717,56552,59102,49744,53626,58110,64681,76107,54612,66579,63250,45805,55935,57099,64211,58565,71982,69821,71166,49969,68435,54995,65240,54915,55465,58633,60812,59921,59820,62821,51274,66607,55908,58579,56938,60147,61291,56039,59456,64506,71225,48076,57829,72699,https://apps.bea.gov/iTable/?reqid=70&step=30&isuri=1&major_area=0&area=xx&year=-1&tableid=21&category=421&area_type=0&year_end=-1&classification=non-industry&state=0&statistic=3&yearbegin=-1&unit_of_measure=levels#eyJhcHBpZCI6NzAsInN0ZXBzIjpbMSwyOSwyNSwzMSwyNiwzMCwzMF0sImRhdGEiOltbIm1ham9yX2FyZWEiLCIwIl0sWyJhcmVhIixbIlhYIl1dLFsieWVhciIsWyItMSJdXSxbInRhYmxlaWQiLCIyMSJdLFsieWVhcl9lbmQiLCItMSJdLFsic3RhdGUiLFsiMCJdXSxbInN0YXRpc3RpYyIsIjMiXSxbInllYXJiZWdpbiIsIi0xIl0sWyJ1bml0X29mX21lYXN1cmUiLCJMZXZlbHMiXV43
2023,48945,65943,56293,52282,69140,70179,76114,58787,89538,67723,60972,52880,57344,58283,52972,63018,54717,56552,59102,49744,53626,58110,64681,76107,54612,66579,63250,45805,55935,57099,64211,58565,71982,69821,71166,49969,68435,54995,65240,54915,55465,58633,60812,59921,59820,62821,51274,66607,55908,58579,56938,60147,61291,56039,59456,64506,71225,48076,57829,72699,https://apps.bea.gov/iTable/?reqid=70&step=30&isuri=1&major_area=0&area=xx&year=-1&tableid=21&category=421&area_type=0&year_end=-1&classification=non-industry&state=0&statistic=3&yearbegin=-1&unit_of_measure=levels#eyJhcHBpZCI6NzAsInN0ZXBzIjpbMSwyOSwyNSwzMSwyNiwzMCwzMF0sImRhdGEiOltbIm1ham9yX2FyZWEiLCIwIl0sWyJhcmVhIixbIlhYIl1dLFsieWVhciIsWyItMSJdXSxbInRhYmxlaWQiLCIyMSJdLFsieWVhcl9lbmQiLCItMSJdLFsic3RhdGUiLFsiMCJdXSxbInN0YXRpc3RpYyIsIjMiXSxbInllYXJiZWdpbiIsIi0xIl0sWyJ1bml0X29mX21lYXN1cmUiLCJMZXZlbHMiXV42
2023,48945,65943,56293,52282,69140,70179,76114,58787,89538,67723,60972,52880,57344,58283,52972,63018,54717,56552,59102,49744,53626,58110,64681,76107,54612,66579,63250,45805,55935,57099,64211,58565,71982,69821,71166,49969,68435,54995,65240,54915,55465,58633,60812,59921,59820,62821,51274,66607,55908,58579,56938,60147,61291,56039,59456,64506,71225,48076,57829,72699,https://apps.bea.gov/iTable/?reqid=70&step=30&isuri=1&major_area=0&area=xx&year=-1&tableid=21&category=421&area_type=0&year_end=-1&classification=non-industry&state=0&statistic=3&yearbegin=-1&unit_of_measure=levels#eyJhcHBpZCI6NzAsInN0ZXBzIjpbMSwyOSwyNSwzMSwyNiwzMCwzMF0sImRhdGEiOltbIm1ham9yX2FyZWEiLCIwIl0sWyJhcmVhIixbIlhYIl1dLFsieWVhciIsWyItMSJdXSxbInRhYmxlaWQiLCIyMSJdLFsieWVhcl9lbmQiLCItMSJdLFsic3RhdGUiLFsiMCJdXSxbInN0YXRpc3RpYyIsIjMiXSxbInllYXJiZWdpbiIsIi0xIl0sWyJ1bml0X29mX21lYXN1cmUiLCJMZXZlbHMiXV41
2023,48945,65943,56293,52282,69140,70179,76114,58787,89538,67723,60972,52880,57344,58283,52972,63018,54717,56552,59102,49744,53626,58110,64681,76107,54612,66579,63250,45805,55935,57099,64211,58565,71982,69821,71166,49969,68435,54995,65240,54915,55465,58633,60812,59921,59820,62821,51274,66607,55908,58579,56938,60147,61291,56039,59456,64506,71225,48076,57829,72699,https://apps.bea.gov/iTable/?reqid=70&step=30&isuri=1&major_area=0&area=xx&year=-1&tableid=21&category=421&area_type=0&year_end=-1&classification=non-industry&state=0&statistic=3&yearbegin=-1&unit_of_measure=levels#eyJhcHBpZCI6NzAsInN0ZXBzIjpbMSwyOSwyNSwzMSwyNiwzMCwzMF0sImRhdGEiOltbIm1ham9yX2FyZWEiLCIwIl0sWyJhcmVhIixbIlhYIl1dLFsieWVhciIsWyItMSJdXSxbInRhYmxlaWQiLCIyMSJdLFsieWVhcl9lbmQiLCItMSJdLFsic3RhdGUiLFsiMCJdXSxbInN0YXRpc3RpYyIsIjMiXSxbInllYXJiZWdpbiIsIi0xIl0sWyJ1bml0X29mX21lYXN1cmUiLCJMZXZlbHMiXV40
2023,48945,65943,56293,52282,69140,70179,76114,58787,89538,67723,60972,52880,57344,58283,52972,63018,54717,56552,59102,49744,53626,58110,64681,76107,54612,66579,63250,45805,55935,57099,64211,58565,71982,69821,71166,49969,68435,54995,65240,54915,55465,58633,60812,59921,59820,62821,51274,66607,55908,58579,56938,60147,61291,56039,59456,64506,71225,48076,57829,72699,https://apps.bea.gov/iTable/?reqid=70&step=30&isuri=1&major_area=0&area=xx&year=-1&tableid=21&category=421&area_type=0&year_end=-1&classification=non-industry&state=0&statistic=3&yearbegin=-1&unit_of_measure=levels#eyJhcHBpZCI6NzAsInN0ZXBzIjpbMSwyOSwyNSwzMSwyNiwzMCwzMF0sImRhdGEiOltbIm1ham9yX2FyZWEiLCIwIl0sWyJhcmVhIixbIlhYIl1dLFsieWVhciIsWyItMSJdXSxbInRhYmxlaWQiLCIyMSJdLFsieWVhcl9lbmQiLCItMSJdLFsic3RhdGUiLFsiMCJdXSxbInN0YXRpc3RpYyIsIjMiXSxbInllYXJiZWdpbiIsIi0xIl0sWyJ1bml0X29mX21lYXN1cmUiLCJMZXZlbHMiXV39
