Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year Avg,Good Name,Good Unit,Source,Price Unit
2025,7.044,,,,,,,,,,,,7.04,bacon,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2024,6.614,6.56,6.609,6.637,6.818,6.827,6.883,6.785,6.955,6.869,6.843,6.915,6.78,bacon,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2023,6.808,6.595,6.613,6.549,6.339,6.224,6.236,6.502,7.083,7.223,6.899,6.774,6.65,bacon,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2022,7.222,7.097,7.203,7.422,7.364,7.403,7.415,7.372,7.383,7.608,7.243,6.956,7.31,bacon,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2021,5.831,5.778,5.852,6.215,6.346,6.67,6.857,7.096,7.22,7.317,7.265,7.211,6.64,bacon,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2020,5.505,5.497,5.257,5.346,5.348,5.772,5.776,5.559,5.619,5.722,5.754,5.831,5.58,bacon,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2019,5.518,5.502,5.608,5.552,5.812,5.878,5.701,5.576,5.571,5.653,5.505,5.474,5.61,bacon,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2018,5.654,5.533,5.527,5.421,5.452,5.247,5.418,5.577,5.501,5.37,5.392,5.502,5.47,bacon,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2017,5.18,5.334,5.745,5.775,5.699,5.665,5.819,6.241,6.366,6.066,5.708,5.629,5.77,bacon,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2016,5.656,5.394,5.494,5.613,5.552,5.374,5.454,5.448,5.481,5.375,5.106,5.102,5.42,bacon,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2015,5.589,5.472,5.367,5.211,4.94,5.059,5.184,5.41,5.734,5.899,5.847,5.734,5.45,bacon,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2014,5.563,5.461,5.552,5.69,6.048,6.106,6.009,6.068,5.953,5.759,5.574,5.531,5.78,bacon,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2013,4.722,4.831,4.909,4.887,5.092,5.334,5.494,5.618,5.68,5.708,5.615,5.544,5.29,bacon,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2012,4.571,4.655,4.6,4.533,4.385,4.326,4.365,4.609,4.692,4.661,4.64,4.639,4.56,bacon,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2011,4.25,4.366,4.537,4.662,4.77,4.84,4.755,4.77,4.819,4.586,4.637,4.55,4.63,bacon,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2010,3.63,3.642,3.669,3.643,3.862,4.046,4.213,4.353,4.574,4.773,4.697,4.16,4.11,bacon,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2009,3.73,3.62,3.59,3.581,3.663,3.621,3.64,3.588,3.592,3.603,3.498,3.57,3.61,bacon,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2008,3.652,3.62,3.623,3.554,3.637,3.655,3.605,3.842,3.725,3.745,3.597,3.67,3.66,bacon,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2007,3.51,3.566,3.464,3.496,3.651,3.657,3.723,3.798,3.784,3.883,3.656,3.688,3.66,bacon,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2006,3.364,3.385,3.396,3.343,3.309,3.399,3.508,3.559,3.552,3.61,3.444,3.458,3.44,bacon,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2005,3.367,3.395,3.355,3.331,3.56,3.457,3.478,3.442,3.404,3.327,3.262,3.327,3.39,bacon,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2004,3.157,3.189,3.129,3.196,3.33,3.42,3.47,3.622,3.589,3.606,3.438,3.369,3.38,bacon,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2003,3.195,3.281,3.216,3.287,3.086,3.136,3.155,3.229,3.219,3.161,3.228,3.182,3.2,bacon,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2002,3.271,3.317,3.266,3.257,3.182,3.193,3.231,3.269,3.155,3.24,3.211,3.242,3.24,bacon,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2001,2.994,3.065,3.159,3.114,3.256,3.253,3.324,3.468,3.487,3.338,3.297,3.3,3.25,bacon,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2000,2.75,2.871,2.928,2.953,3.006,3.132,3.168,3.2,3.209,3.069,3.053,3.028,3.03,bacon,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
1999,2.523,2.52,2.507,2.445,2.474,2.504,2.503,2.543,2.58,2.57,2.658,2.752,2.55,bacon,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
1998,2.644,2.623,2.539,2.444,2.438,2.457,2.517,2.513,2.576,2.567,2.619,2.58,2.54,bacon,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
1997,2.664,2.651,2.657,2.66,2.627,2.694,2.718,2.755,2.75,2.73,2.665,2.607,2.68,bacon,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
1996,2.138,2.203,2.202,2.242,2.345,2.493,2.542,2.682,2.809,2.721,2.656,2.642,2.47,bacon,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
1995,1.93,1.93,1.91,1.89,1.918,1.896,1.906,1.968,2.042,2.117,2.155,2.166,1.99,bacon,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
1994,2.041,2.019,2.017,2.063,2.016,1.985,2,1.987,1.973,1.965,1.917,1.892,1.99,bacon,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
