Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year Avg,Good Name,Good Unit,Source,Price Unit
2025,7.019,,,,,,,,,,,,7,coffee,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2024,6.124,6.094,5.964,6.063,5.991,6.253,6.307,6.311,6.47,6.644,6.868,6.776,6.3,coffee,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2023,6.358,6.351,6.184,6.04,6.094,6.091,6.141,6.091,6.085,6.178,6.169,6.092,6.2,coffee,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2022,5.135,5.247,5.41,5.529,5.835,5.793,6.112,6.235,6.17,6.408,6.356,6.465,5.9,coffee,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2021,4.591,4.673,4.671,4.752,4.566,4.605,4.562,4.726,4.733,4.8,4.816,4.965,4.7,coffee,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2020,4.174,4.25,4.334,4.396,4.466,4.517,4.536,4.504,4.487,4.522,4.485,4.52,4.4,coffee,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2019,,,,,,,,,,4.174,4.197,4.053,4.1,coffee,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2018,4.291,4.267,4.343,4.313,4.294,,,,4.306,,,,4.3,coffee,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2017,4.468,4.583,4.65,4.622,4.597,4.545,4.335,4.373,4.323,4.327,4.324,4.285,4.5,coffee,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2016,4.498,4.447,4.405,4.428,4.443,4.481,4.428,4.316,4.372,4.309,4.306,4.281,4.4,coffee,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2015,4.738,4.91,4.827,4.99,4.715,4.686,4.79,4.808,4.669,4.609,4.412,4.486,4.7,coffee,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
