Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year Avg,Good Name,Good Unit,Source,Price Unit
2025,4.953,,,,,,,,,,,,4.95,eggs,$/dozen,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2024,2.522,2.996,2.992,2.864,2.699,2.715,3.08,3.204,3.821,3.37,3.649,4.146,3.17,eggs,$/dozen,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2023,4.823,4.211,3.446,3.27,2.666,2.219,2.094,2.043,2.065,2.072,2.138,2.507,2.8,eggs,$/dozen,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2022,1.929,2.005,2.046,2.52,2.863,2.707,2.936,3.116,2.902,3.419,3.589,4.25,2.86,eggs,$/dozen,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2021,1.466,1.597,1.625,1.62,1.625,1.642,1.642,1.709,1.835,1.821,1.718,1.788,1.67,eggs,$/dozen,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2020,1.461,1.449,1.525,2.019,1.64,1.554,1.401,1.328,1.353,1.408,1.45,1.481,1.51,eggs,$/dozen,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2019,1.554,1.557,1.544,1.463,1.362,1.203,1.243,1.219,1.383,1.282,1.405,1.535,1.4,eggs,$/dozen,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2018,1.769,1.755,1.831,2.081,1.987,1.628,1.725,1.622,1.651,1.66,1.596,1.595,1.74,eggs,$/dozen,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2017,1.599,1.464,1.404,1.409,1.414,1.332,1.333,1.367,1.422,1.54,1.506,1.815,1.47,eggs,$/dozen,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2016,2.328,2.267,2.081,1.793,1.684,1.491,1.546,1.455,1.471,1.39,1.321,1.383,1.68,eggs,$/dozen,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2015,2.113,2.088,2.133,2.065,1.962,2.57,2.57,2.943,2.966,2.808,2.664,2.751,2.47,eggs,$/dozen,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2014,2.008,1.998,2.061,2.119,1.996,1.948,1.95,1.979,1.97,1.951,2.032,2.21,2.02,eggs,$/dozen,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2013,1.933,1.965,1.925,1.918,1.87,1.859,1.833,1.838,1.897,1.925,1.925,2.026,1.91,eggs,$/dozen,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2012,1.939,1.798,1.774,1.829,1.691,1.67,1.648,1.884,1.889,1.96,1.963,2.007,1.84,eggs,$/dozen,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2011,1.806,1.708,1.732,1.727,1.692,1.683,1.647,1.711,1.947,1.871,1.836,1.874,1.77,eggs,$/dozen,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2010,1.789,1.872,1.822,1.779,1.523,1.494,1.441,1.519,1.753,1.456,1.675,1.793,1.66,eggs,$/dozen,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2009,1.85,1.795,1.693,1.774,1.501,1.529,1.495,1.632,1.627,1.595,1.705,1.772,1.66,eggs,$/dozen,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2008,2.175,2.168,2.203,2.069,1.93,1.92,2.011,1.854,1.978,1.858,1.838,1.834,1.99,eggs,$/dozen,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
