Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year Avg,Good Name,Good Unit,Source,Price Unit
2012,3.501,3.467,3.359,3.18,,,,,,,,,3.38,butter,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2011,3.526,3.67,3.69,3.72,3.693,3.605,3.694,3.645,3.656,3.663,3.323,3.32,3.6,butter,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2010,2.778,2.838,2.781,2.846,2.922,2.953,3.155,3.242,3.573,3.634,3.361,3.416,3.12,butter,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2009,3.164,3.033,2.914,2.701,2.778,2.906,2.922,2.774,2.808,2.78,2.612,2.668,2.84,butter,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2008,3.083,3.056,2.976,3.189,3.259,,,,,3.287,3.12,3.129,3.14,butter,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2007,3.002,3.006,2.979,2.857,3.058,3.077,3.064,3.164,3.137,3.102,2.987,2.983,3.03,butter,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2006,3.13,3.073,3.08,2.794,2.966,2.896,2.794,2.814,2.776,2.981,2.866,2.892,2.92,butter,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2005,3.513,3.525,3.456,3.404,3.409,3.107,3.14,3.206,3.321,3.186,3.13,2.98,3.28,butter,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2004,2.847,2.787,3.466,3.353,3.758,3.937,3.753,3.613,3.624,3.668,3.605,3.463,3.49,butter,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2003,2.944,2.964,2.99,2.721,2.726,2.658,2.697,2.747,2.856,2.882,2.766,2.804,2.81,butter,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2002,3.419,3.284,3.06,3.196,3.215,3.084,3.095,2.938,3.101,3.032,2.608,2.842,3.07,butter,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2001,2.971,2.979,2.97,3.009,3.262,3.385,3.549,3.616,3.697,3.688,3.162,3.31,3.3,butter,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2000,2.425,2.293,2.408,2.3,2.379,2.525,2.718,2.686,2.595,2.627,2.483,2.799,2.52,butter,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
1999,3.002,2.801,2.739,2.703,2.546,2.648,2.67,2.722,2.628,2.656,2.449,2.272,2.65,butter,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
