Year,year avg,Good Name,Good Unit,price unit,source,,,
1929,0.21,gas,$ / gallon,dollars,https://www.energy.gov/eere/vehicles/fact-741-august-20-2012-historical-gasoline-prices-1929-2011,,,
1930,0.20,gas,$ / gallon,dollars,https://www.energy.gov/eere/vehicles/fact-741-august-20-2012-historical-gasoline-prices-1929-2011,,,
1931,0.17,gas,$ / gallon,dollars,https://www.energy.gov/eere/vehicles/fact-741-august-20-2012-historical-gasoline-prices-1929-2011,,,
1932,0.18,gas,$ / gallon,dollars,https://www.energy.gov/eere/vehicles/fact-741-august-20-2012-historical-gasoline-prices-1929-2011,,,
1933,0.18,gas,$ / gallon,dollars,https://www.energy.gov/eere/vehicles/fact-741-august-20-2012-historical-gasoline-prices-1929-2011,,,
1934,0.19,gas,$ / gallon,dollars,https://www.energy.gov/eere/vehicles/fact-741-august-20-2012-historical-gasoline-prices-1929-2011,,,
1935,0.19,gas,$ / gallon,dollars,https://www.energy.gov/eere/vehicles/fact-741-august-20-2012-historical-gasoline-prices-1929-2011,,,
1936,0.19,gas,$ / gallon,dollars,https://www.energy.gov/eere/vehicles/fact-741-august-20-2012-historical-gasoline-prices-1929-2011,,,
1937,0.20,gas,$ / gallon,dollars,https://www.energy.gov/eere/vehicles/fact-741-august-20-2012-historical-gasoline-prices-1929-2011,,,
1938,0.20,gas,$ / gallon,dollars,https://www.energy.gov/eere/vehicles/fact-741-august-20-2012-historical-gasoline-prices-1929-2011,,,
1939,0.19,gas,$ / gallon,dollars,https://www.energy.gov/eere/vehicles/fact-741-august-20-2012-historical-gasoline-prices-1929-2011,,,
1940,0.18,gas,$ / gallon,dollars,https://www.energy.gov/eere/vehicles/fact-741-august-20-2012-historical-gasoline-prices-1929-2011,,,
1941,0.19,gas,$ / gallon,dollars,https://www.energy.gov/eere/vehicles/fact-741-august-20-2012-historical-gasoline-prices-1929-2011,,,
1942,0.20,gas,$ / gallon,dollars,https://www.energy.gov/eere/vehicles/fact-741-august-20-2012-historical-gasoline-prices-1929-2011,,,
1943,0.21,gas,$ / gallon,dollars,https://www.energy.gov/eere/vehicles/fact-741-august-20-2012-historical-gasoline-prices-1929-2011,,,
1944,0.21,gas,$ / gallon,dollars,https://www.energy.gov/eere/vehicles/fact-741-august-20-2012-historical-gasoline-prices-1929-2011,,,
1945,0.21,gas,$ / gallon,dollars,https://www.energy.gov/eere/vehicles/fact-741-august-20-2012-historical-gasoline-prices-1929-2011,,,
1946,0.21,gas,$ / gallon,dollars,https://www.energy.gov/eere/vehicles/fact-741-august-20-2012-historical-gasoline-prices-1929-2011,,,
1947,0.23,gas,$ / gallon,dollars,https://www.energy.gov/eere/vehicles/fact-741-august-20-2012-historical-gasoline-prices-1929-2011,,,
1948,0.26,gas,$ / gallon,dollars,https://www.energy.gov/eere/vehicles/fact-741-august-20-2012-historical-gasoline-prices-1929-2011,,,
1949,0.27,gas,$ / gallon,dollars,https://www.energy.gov/eere/vehicles/fact-741-august-20-2012-historical-gasoline-prices-1929-2011,,,
1950,0.27,gas,$ / gallon,dollars,https://www.energy.gov/eere/vehicles/fact-741-august-20-2012-historical-gasoline-prices-1929-2011,,,
1951,0.27,gas,$ / gallon,dollars,https://www.energy.gov/eere/vehicles/fact-741-august-20-2012-historical-gasoline-prices-1929-2011,,,
1952,0.27,gas,$ / gallon,dollars,https://www.energy.gov/eere/vehicles/fact-741-august-20-2012-historical-gasoline-prices-1929-2011,,,
1953,0.27,gas,$ / gallon,dollars,https://www.energy.gov/eere/vehicles/fact-741-august-20-2012-historical-gasoline-prices-1929-2011,,,
1954,0.29,gas,$ / gallon,dollars,https://www.energy.gov/eere/vehicles/fact-741-august-20-2012-historical-gasoline-prices-1929-2011,,,
1955,0.29,gas,$ / gallon,dollars,https://www.energy.gov/eere/vehicles/fact-741-august-20-2012-historical-gasoline-prices-1929-2011,,,
1956,0.29,gas,$ / gallon,dollars,https://www.energy.gov/eere/vehicles/fact-741-august-20-2012-historical-gasoline-prices-1929-2011,,,
1957,0.30,gas,$ / gallon,dollars,https://www.energy.gov/eere/vehicles/fact-741-august-20-2012-historical-gasoline-prices-1929-2011,,,
1958,0.31,gas,$ / gallon,dollars,https://www.energy.gov/eere/vehicles/fact-741-august-20-2012-historical-gasoline-prices-1929-2011,,,
1959,0.30,gas,$ / gallon,dollars,https://www.energy.gov/eere/vehicles/fact-741-august-20-2012-historical-gasoline-prices-1929-2011,,,
1960,0.31,gas,$ / gallon,dollars,https://www.energy.gov/eere/vehicles/fact-741-august-20-2012-historical-gasoline-prices-1929-2011,,,
1961,0.31,gas,$ / gallon,dollars,https://www.energy.gov/eere/vehicles/fact-741-august-20-2012-historical-gasoline-prices-1929-2011,,,
1962,0.31,gas,$ / gallon,dollars,https://www.energy.gov/eere/vehicles/fact-741-august-20-2012-historical-gasoline-prices-1929-2011,,,
1963,0.31,gas,$ / gallon,dollars,https://www.energy.gov/eere/vehicles/fact-741-august-20-2012-historical-gasoline-prices-1929-2011,,,
