Year,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii ,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,New England,Mideast,Great Lakes,Plains,Southeast,Southwest,Rocky Mountain,Far West 
1929,699,319,(NA),598,303,994,631,1029,1031,1324,519,343,(NA),499,951,605,571,526,388,409,600,775,911,792,594,277,619,592,584,874,688,921,405,1156,327,377,772,449,666,776,881,267,415,373,474,548,630,435,740,459,670,672,876,972,796,566,363,470,589,905
1930,621,263,(NA),518,224,889,574,927,858,1314,468,303,(NA),488,810,512,501,460,322,353,574,721,842,658,547,197,560,501,510,834,648,851,333,1042,287,308,664,365,605,717,795,239,357,321,407,494,572,387,657,407,585,582,806,890,678,504,310,398,532,812
1931,528,220,(NA),430,207,753,472,807,776,1253,397,254,(NA),366,673,435,396,394,287,315,492,646,766,540,457,169,489,387,409,665,560,741,287,889,244,195,563,294,504,605,718,203,242,273,345,372,471,371,534,354,469,477,718,765,565,417,271,333,420,683
1932,402,159,(NA),322,152,584,357,627,591,1107,317,197,(NA),268,489,308,293,267,209,238,380,522,622,395,361,122,365,334,303,557,430,593,208,686,183,178,403,214,377,455,584,156,189,194,262,304,363,286,402,257,362,375,574,593,410,313,203,250,330,526
1933,375,164,(NA),309,153,550,353,591,566,945,289,202,(NA),228,441,294,252,251,204,226,373,475,568,348,310,127,334,299,273,499,420,529,211,634,203,151,387,220,357,423,569,172,136,201,254,297,337,286,376,259,334,372,535,545,378,278,206,246,314,495
1934,427,207,(NA),362,182,605,372,661,647,963,348,241,(NA),389,508,357,271,288,232,263,418,532,618,454,359,167,368,365,264,560,480,578,246,688,247,184,457,250,437,487,609,207,190,242,291,314,381,323,442,313,380,414,588,602,450,309,246,282,366,556
1935,477,216,(NA),416,204,665,445,715,706,1031,378,267,(NA),394,576,419,418,360,264,289,435,558,653,532,449,174,421,475,405,667,504,631,293,732,267,271,519,296,459,524,655,228,305,263,325,391,415,354,491,338,461,498,625,646,519,403,268,320,437,610
1936,539,249,(NA),462,243,776,542,815,872,1143,453,300,(NA),466,654,481,391,387,293,328,509,627,725,621,474,222,467,478,395,845,542,715,343,819,294,238,597,322,547,608,721,256,248,303,372,463,470,394,570,391,518,552,699,732,594,414,307,362,503,714
1937,579,266,(NA),506,253,801,534,870,955,1211,491,312,(NA),421,734,546,513,427,339,352,514,674,742,687,538,220,508,514,414,775,570,753,362,848,321,324,651,375,556,643,742,271,321,332,418,447,485,426,601,419,551,606,724,767,658,477,331,409,501,738
1938,531,242,(NA),479,228,779,508,779,801,1142,466,288,(NA),421,652,472,451,383,296,347,476,644,683,574,493,196,476,515,402,785,537,704,338,801,291,282,565,345,531,570,683,248,317,298,404,446,458,394,583,371,508,560,663,710,574,438,303,390,487,717
1939,561,251,(NA),491,246,790,519,847,907,1164,502,308,(NA),431,710,518,468,382,305,359,500,673,736,628,517,201,504,530,399,864,566,757,356,837,312,316,620,348,571,609,732,275,341,310,417,460,492,431,618,390,515,586,714,750,623,457,321,401,501,736
1940,600,281,(NA),506,257,856,548,931,1038,1221,531,338,(NA),459,758,552,494,425,322,365,532,723,793,683,524,212,520,566,440,902,586,830,377,883,323,352,664,374,611,659,767,314,357,339,438,484,519,480,667,409,548,602,768,802,668,480,345,423,529,796
1941,730,379,(NA),649,344,1034,655,1159,1179,1271,634,432,(NA),594,901,726,603,556,401,465,641,896,921,834,616,316,646,708,548,1001,720,969,476,1012,430,521,828,436,823,786,958,415,470,441,539,600,650,614,885,500,673,793,923,933,820,597,447,517,656,986
1942,930,532,(NA),953,491,1324,917,1440,1312,1474,837,592,(NA),919,1049,919,829,860,551,617,873,1157,1102,1058,799,457,819,901,823,1592,871,1185,656,1191,588,658,1032,639,1132,965,1189,580,755,570,742,907,783,847,1233,617,872,974,1132,1124,1009,812,611,726,917,1292
1943,1133,676,(NA),1045,572,1589,1067,1621,1491,1630,1057,749,(NA),1040,1278,1150,1024,1062,717,811,1126,1325,1296,1372,955,553,980,1155,1029,1550,1002,1454,803,1416,713,959,1273,802,1403,1169,1246,675,853,745,970,1164,947,887,1507,748,1065,1171,1314,1344,1255,992,751,931,1106,1556
1944,1218,753,(NA),1076,698,1616,1087,1622,1529,1670,1154,852,(NA),1110,1405,1209,1004,1182,778,896,1123,1359,1330,1403,1012,642,1083,1185,1101,1526,1082,1576,908,1569,778,1020,1330,965,1402,1272,1312,753,976,879,1068,1078,963,938,1557,829,1116,1243,1343,1464,1327,1062,839,1039,1117,1584
1945,1261,799,(NA),1150,753,1620,1213,1592,1552,1754,1215,899,(NA),1144,1488,1265,1096,1179,815,908,1101,1349,1382,1342,1119,640,1147,1212,1197,1658,1139,1609,971,1681,835,1037,1361,989,1372,1305,1318,772,1083,926,1082,1153,1047,987,1452,900,1191,1274,1368,1529,1362,1133,881,1061,1194,1569
1946,1278,763,(NA),1131,760,1706,1231,1600,1579,1826,1200,859,(NA),1203,1550,1211,1238,1142,835,845,1148,1352,1422,1338,1193,618,1200,1309,1187,1786,1168,1547,947,1725,875,1079,1324,960,1390,1305,1405,791,1121,880,1061,1121,1096,1050,1432,931,1214,1365,1407,1541,1365,1188,877,1038,1228,1629
