year,inflation_cpi,tax_units,average_income_adjusted,Income Unadjusted,P90-100,P90-95,P95-99,P99-100,P99.5-100,P99.9-100,P99.99-100,shares-only-p99-100,rank-and-share-p99-100,source
1913,16.4776,37701,12076,732.87,,,,17.96,14.73,8.62,2.76,17.96,17.96,https://eml.berkeley.edu/~saez/pikettyqje.pdf
1914,16.2662,38513,11804,725.68,,,,18.16,15.08,8.6,2.73,18.16,18.16,https://eml.berkeley.edu/~saez/pikettyqje.pdf
1915,16.1051,39154,11918,740.01,,,,17.58,14.58,9.22,4.36,17.58,17.58,https://eml.berkeley.edu/~saez/pikettyqje.pdf
1916,14.9676,39790,12961,865.94,,,,18.57,15.6,9.87,4.4,18.92,19.34,https://eml.berkeley.edu/~saez/pikettyqje.pdf
1917,12.7492,40387,13204,1035.67,40.29,9.95,12.74,17.6,14.23,8.36,3.33,17.73,17.75,https://eml.berkeley.edu/~saez/pikettyqje.pdf
1918,10.8596,40451,12502,1151.24,39.9,10.61,13.41,15.88,12.39,6.74,2.45,16,15.97,https://eml.berkeley.edu/~saez/pikettyqje.pdf
1919,9.4514,41052,12240,1295.05,39.48,10.17,13.44,15.87,12.23,6.45,2.22,16.19,16.44,https://eml.berkeley.edu/~saez/pikettyqje.pdf
1920,8.1618,41909,10918,1337.7,38.1,10.63,13.01,14.46,10.95,5.37,1.67,14.71,14.86,https://eml.berkeley.edu/~saez/pikettyqje.pdf
1921,9.1398,42835,9636,1054.29,42.86,12.4,14.98,15.47,11.6,5.6,1.69,15.63,15.65,https://eml.berkeley.edu/~saez/pikettyqje.pdf
1922,9.7543,43543,10875,1114.89,42.95,11.9,14.76,16.29,12.38,6.17,2.01,16.68,17.09,https://eml.berkeley.edu/~saez/pikettyqje.pdf
1923,9.5818,44409,12096,1262.39,40.59,11.64,13.96,14.99,11.32,5.5,1.75,15.32,15.68,https://eml.berkeley.edu/~saez/pikettyqje.pdf
1924,9.5627,45384,11951,1249.75,43.26,12.34,14.61,16.32,12.42,6.14,2.01,16.85,17.47,https://eml.berkeley.edu/~saez/pikettyqje.pdf
1925,9.3295,46190,12073,1294.07,44.17,11.7,14.86,17.6,13.41,6.75,2.35,18.72,20.36,https://eml.berkeley.edu/~saez/pikettyqje.pdf
1926,9.2371,46940,12199,1320.65,44.07,11.32,14.74,18.01,13.75,7.07,2.54,18.78,20,https://eml.berkeley.edu/~saez/pikettyqje.pdf
1927,9.416,47723,12291,1305.33,44.67,11.23,14.75,18.68,14.33,7.47,2.76,19.6,21.14,https://eml.berkeley.edu/~saez/pikettyqje.pdf
1928,9.54,48445,12542,1314.68,46.09,11.32,15.17,19.6,15.17,8.19,3.23,21.27,24.14,https://eml.berkeley.edu/~saez/pikettyqje.pdf
1929,9.54,49085,13076,1370.65,43.76,10.71,14.63,18.42,14.21,7.62,3.01,19.9,22.51,https://eml.berkeley.edu/~saez/pikettyqje.pdf
1930,9.7846,49750,11848,1210.88,43.07,11.89,14.76,16.42,12.42,6.4,2.39,16.76,17.27,https://eml.berkeley.edu/~saez/pikettyqje.pdf
1931,10.7288,50462,10750,1001.98,44.4,13.39,15.74,15.27,11.32,5.68,2.07,15.41,15.52,https://eml.berkeley.edu/~saez/pikettyqje.pdf
1932,11.9607,51117,9041,755.89,46.3,13.71,17.11,15.48,11.55,5.9,1.93,15.57,15.56,https://eml.berkeley.edu/~saez/pikettyqje.pdf
1933,12.6035,51757,8805,698.62,45.03,12.54,16.72,15.77,11.78,6.05,2.04,16.12,16.49,https://eml.berkeley.edu/~saez/pikettyqje.pdf
1934,12.1891,52430,9671,793.41,45.16,12.16,17.13,15.87,11.8,5.82,1.92,16.02,16.41,https://eml.berkeley.edu/~saez/pikettyqje.pdf
1935,11.8918,53147,10472,880.61,43.39,12.4,15.36,15.63,11.67,5.8,1.95,16,16.71,https://eml.berkeley.edu/~saez/pikettyqje.pdf
1936,11.774,53844,11493,976.13,44.77,12.12,15.02,17.64,13.37,6.69,2.23,18.23,19.36,https://eml.berkeley.edu/~saez/pikettyqje.pdf
1937,11.3649,54539,12053,1060.55,43.35,11.97,14.93,16.45,12.42,6.16,2.02,16.69,17.17,https://eml.berkeley.edu/~saez/pikettyqje.pdf
1938,11.585,55342,11086,956.93,43,12.82,15.45,14.73,10.82,5.16,1.67,15.05,15.78,https://eml.berkeley.edu/~saez/pikettyqje.pdf
1939,11.7495,56181,11812,1005.32,44.57,13.28,15.89,15.39,11.37,5.45,1.74,15.66,16.2,https://eml.berkeley.edu/~saez/pikettyqje.pdf
1940,11.6332,57115,12367,1063.08,44.43,13.14,15.55,15.73,11.66,5.57,1.77,15.97,16.5,https://eml.berkeley.edu/~saez/pikettyqje.pdf
1941,11.0792,57392,14455,1304.7,41.02,12,14.01,15.01,11.15,5.29,1.63,15.25,15.81,https://eml.berkeley.edu/~saez/pikettyqje.pdf
