Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year Avg,Good Name,Good Unit,Source,Price Unit
2025,4.625,,,,,,,,,,,,4.63,pork chop,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2024,4.534,4.4,4.333,4.332,4.545,4.616,4.568,4.64,4.62,4.487,4.647,4.58,4.53,pork chop,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2023,4.573,4.611,4.617,4.505,4.51,4.562,4.448,4.63,4.552,4.426,4.278,4.327,4.5,pork chop,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2022,4.392,4.367,4.679,4.587,4.463,4.468,4.62,4.559,4.595,4.578,4.572,4.674,4.55,pork chop,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2021,3.943,3.963,4.067,4.161,4.162,4.351,4.322,4.326,4.233,4.394,4.356,4.357,4.22,pork chop,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2020,3.781,3.92,3.907,4.148,4.371,4.544,4.351,4.06,4.066,3.947,4.054,4.248,4.12,pork chop,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2019,3.576,3.852,3.648,3.779,4.019,3.941,4.041,3.982,3.841,3.773,3.85,3.772,3.84,pork chop,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2018,3.814,3.718,3.702,4.004,3.829,3.811,3.558,3.843,3.799,3.889,3.736,3.947,3.8,pork chop,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2017,3.639,3.625,3.699,3.639,3.746,3.625,3.793,3.76,3.896,3.708,3.87,3.809,3.73,pork chop,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2016,3.714,3.841,3.901,4.028,3.968,3.94,3.986,3.926,3.89,3.92,3.703,3.633,3.87,pork chop,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2015,4.167,4.138,4.224,4.141,4.132,3.965,4.062,4.042,4.107,4.106,4.104,4.089,4.11,pork chop,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
2014,3.831,3.669,4.095,4.2,4.308,4.165,4.27,4.353,4.414,4.308,4.389,4.261,4.19,pork chop,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
