GeoFips,Source,GeoName,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,https://apps.bea.gov/iTable/?reqid=70&step=30&isuri=1&major_area=0&area=xx&year=-1&tableid=21&category=421&area_type=0&year_end=-1&classification=non-industry&state=0&statistic=3&yearbegin=-1&unit_of_measure=levels#eyJhcHBpZCI6NzAsInN0ZXBzIjpbMSwyOSwyNSwzMSwyNiwzMCwzMF0sImRhdGEiOltbIm1ham9yX2FyZWEiLCIwIl0sWyJhcmVhIixbIlhYIl1dLFsieWVhciIsWyItMSJdXSxbInRhYmxlaWQiLCIyMSJdLFsieWVhcl9lbmQiLCItMSJdLFsic3RhdGUiLFsiMCJdXSxbInN0YXRpc3RpYyIsIjMiXSxbInllYXJiZWdpbiIsIi0xIl0sWyJ1bml0X29mX21lYXN1cmUiLCJMZXZlbHMiXV19,United States *,1317,1294,1409,1529,1590,1662,1670,1754,1842,1912,1940,2022,2066,2126,2221,2300,2463,2620,2796,2959,3183,3415,3695,3981,4269,4739,5130,5641,6083,6618,7324,8038,8869,9788,10463,11195,12291,12995,13663,14212,15377,16363,17242,17728,18692,19221,19921,20770,21621,22511,23754,24611,26173,27204,28146,29204,30605,31571,33300,34639,35902,35555,36562,37994,39442,39111,40701,42036,42939,44737,47004,48915,52357,56320,56517,61291
1000,https://apps.bea.gov/iTable/?reqid=70&step=30&isuri=1&major_area=0&area=xx&year=-1&tableid=21&category=421&area_type=0&year_end=-1&classification=non-industry&state=0&statistic=3&yearbegin=-1&unit_of_measure=levels#eyJhcHBpZCI6NzAsInN0ZXBzIjpbMSwyOSwyNSwzMSwyNiwzMCwzMF0sImRhdGEiOltbIm1ham9yX2FyZWEiLCIwIl0sWyJhcmVhIixbIlhYIl1dLFsieWVhciIsWyItMSJdXSxbInRhYmxlaWQiLCIyMSJdLFsieWVhcl9lbmQiLCItMSJdLFsic3RhdGUiLFsiMCJdXSxbInN0YXRpc3RpYyIsIjMiXSxbInllYXJiZWdpbiIsIi0xIl0sWyJ1bml0X29mX21lYXN1cmUiLCJMZXZlbHMiXV20,Alabama,830,792,868,993,1051,1101,1085,1209,1283,1341,1375,1426,1448,1484,1545,1625,1755,1874,1981,2096,2282,2515,2781,3032,3303,3677,4019,4460,4896,5324,5928,6491,7084,7808,8313,8886,9764,10384,10941,11419,12383,13366,14174,14880,15813,16281,16981,17754,18333,19057,20103,20648,21527,22243,23193,24330,25962,26961,28086,29148,30060,30104,31090,31757,32495,32393,33344,34531,34912,36166,37639,39010,41829,45709,45782,48945
2000,https://apps.bea.gov/iTable/?reqid=70&step=30&isuri=1&major_area=0&area=xx&year=-1&tableid=21&category=421&area_type=0&year_end=-1&classification=non-industry&state=0&statistic=3&yearbegin=-1&unit_of_measure=levels#eyJhcHBpZCI6NzAsInN0ZXBzIjpbMSwyOSwyNSwzMSwyNiwzMCwzMF0sImRhdGEiOltbIm1ham9yX2FyZWEiLCIwIl0sWyJhcmVhIixbIlhYIl1dLFsieWVhciIsWyItMSJdXSxbInRhYmxlaWQiLCIyMSJdLFsieWVhcl9lbmQiLCItMSJdLFsic3RhdGUiLFsiMCJdXSxbInN0YXRpc3RpYyIsIjMiXSxbInllYXJiZWdpbiIsIi0xIl0sWyJ1bml0X29mX21lYXN1cmUiLCJMZXZlbHMiXV21,Alaska *,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),3162,3026,3030,3146,3497,3612,3853,4091,4293,4624,5222,5569,5822,6681,7643,9577,10600,10937,11335,11816,13587,14642,16928,17172,17562,18448,18452,17656,18469,19715,20544,21016,21754,22498,23037,23675,24094,25210,26112,26760,28557,29933,31592,33081,34194,35787,37430,39647,43193,43684,45803,48150,49166,47672,50263,51514,50719,51925,54642,55794,57332,60359,62639,65943
4000,https://apps.bea.gov/iTable/?reqid=70&step=30&isuri=1&major_area=0&area=xx&year=-1&tableid=21&category=421&area_type=0&year_end=-1&classification=non-industry&state=0&statistic=3&yearbegin=-1&unit_of_measure=levels#eyJhcHBpZCI6NzAsInN0ZXBzIjpbMSwyOSwyNSwzMSwyNiwzMCwzMF0sImRhdGEiOltbIm1ham9yX2FyZWEiLCIwIl0sWyJhcmVhIixbIlhYIl1dLFsieWVhciIsWyItMSJdXSxbInRhYmxlaWQiLCIyMSJdLFsieWVhcl9lbmQiLCItMSJdLFsic3RhdGUiLFsiMCJdXSxbInN0YXRpc3RpYyIsIjMiXSxbInllYXJiZWdpbiIsIi0xIl0sWyJ1bml0X29mX21lYXN1cmUiLCJMZXZlbHMiXV22,Arizona,1252,1261,1305,1536,1599,1620,1615,1673,1758,1798,1805,1873,1940,1994,2046,2082,2219,2310,2456,2604,2902,3218,3570,3912,4192,4624,4956,5324,5723,6175,6935,7722,8606,9480,9860,10679,11674,12466,13141,13543,14364,14966,15434,15854,16407,16947,17718,18484,19145,20032,21147,21761,22931,23670,24572,25739,27300,28727,30674,31718,32036,30892,31059,31992,33047,33277,34484,35723,36895,38803,40736,42759,46918,50772,51686,56293
5000,https://apps.bea.gov/iTable/?reqid=70&step=30&isuri=1&major_area=0&area=xx&year=-1&tableid=21&category=421&area_type=0&year_end=-1&classification=non-industry&state=0&statistic=3&yearbegin=-1&unit_of_measure=levels#eyJhcHBpZCI6NzAsInN0ZXBzIjpbMSwyOSwyNSwzMSwyNiwzMCwzMF0sImRhdGEiOltbIm1ham9yX2FyZWEiLCIwIl0sWyJhcmVhIixbIlhYIl1dLFsieWVhciIsWyItMSJdXSxbInRhYmxlaWQiLCIyMSJdLFsieWVhcl9lbmQiLCItMSJdLFsic3RhdGUiLFsiMCJdXSxbInN0YXRpc3RpYyIsIjMiXSxbInllYXJiZWdpbiIsIi0xIl0sWyJ1bml0X29mX21lYXN1cmUiLCJMZXZlbHMiXV23,Arkansas,836,781,808,912,979,1012,1025,1127,1171,1190,1242,1329,1314,1418,1464,1533,1668,1755,1925,2043,2184,2399,2623,2893,3178,3676,3993,4355,4726,5183,5912,6355,6776,7669,8003,8543,9528,10065,10588,10900,11747,12539,13137,13802,14831,15291,15942,16653,17394,17981,18836,19433,20168,21202,21949,23360,24746,25469,26599,27920,28916,28802,29569,31103,33084,32791,34570,35424,36198,37340,39144,39700,42969,47663,49139,52282
6000,https://apps.bea.gov/iTable/?reqid=70&step=30&isuri=1&major_area=0&area=xx&year=-1&tableid=21&category=421&area_type=0&year_end=-1&classification=non-industry&state=0&statistic=3&yearbegin=-1&unit_of_measure=levels#eyJhcHBpZCI6NzAsInN0ZXBzIjpbMSwyOSwyNSwzMSwyNiwzMCwzMF0sImRhdGEiOltbIm1ham9yX2FyZWEiLCIwIl0sWyJhcmVhIixbIlhYIl1dLFsieWVhciIsWyItMSJdXSxbInRhYmxlaWQiLCIyMSJdLFsieWVhcl9lbmQiLCItMSJdLFsic3RhdGUiLFsiMCJdXSxbInN0YXRpc3RpYyIsIjMiXSxbInllYXJiZWdpbiIsIi0xIl0sWyJ1bml0X29mX21lYXN1cmUiLCJMZXZlbHMiXV24,California,1632,1647,1779,1933,2028,2082,2080,2208,2323,2394,2418,2535,2602,2654,2759,2850,3053,3187,3397,3578,3832,4105,4430,4701,5013,5477,5998,6602,7121,7699,8509,9410,10439,11510,12157,12901,14028,14748,15460,16009,17190,17850,18709,19273,20121,20414,20888,21682,22544,23262,24763,25769,27424,28677,29843,31148,32732,33772,35966,37131,37601,37290,38364,39963,41887,41447,43466,45853,47720,49753,52048,54899,60053,64402,62606,69140
8000,https://apps.bea.gov/iTable/?reqid=70&step=30&isuri=1&major_area=0&area=xx&year=-1&tableid=21&category=421&area_type=0&year_end=-1&classification=non-industry&state=0&statistic=3&yearbegin=-1&unit_of_measure=levels#eyJhcHBpZCI6NzAsInN0ZXBzIjpbMSwyOSwyNSwzMSwyNiwzMCwzMF0sImRhdGEiOltbIm1ham9yX2FyZWEiLCIwIl0sWyJhcmVhIixbIlhYIl1dLFsieWVhciIsWyItMSJdXSxbInRhYmxlaWQiLCIyMSJdLFsieWVhcl9lbmQiLCItMSJdLFsic3RhdGUiLFsiMCJdXSxbInN0YXRpc3RpYyIsIjMiXSxbInllYXJiZWdpbiIsIi0xIl0sWyJ1bml0X29mX21lYXN1cmUiLCJMZXZlbHMiXV25,Colorado,1363,1359,1455,1698,1755,1697,1690,1784,1854,2006,2039,2139,2184,2255,2314,2377,2520,2664,2812,2951,3137,3409,3800,4160,4452,4923,5396,5939,6385,6904,7733,8548,9590,10700,11417,12352,13341,13941,14406,14732,15671,16688,17460,18130,19052,19891,20694,21883,22858,23760,25540,26610,28739,29944,30322,31014,31909,33187,34870,36275,37580,36237,36522,38647,40250,41359,44034,44772,44521,47191,50732,53664,56981,62204,65296,70179
9000,https://apps.bea.gov/iTable/?reqid=70&step=30&isuri=1&major_area=0&area=xx&year=-1&tableid=21&category=421&area_type=0&year_end=-1&classification=non-industry&state=0&statistic=3&yearbegin=-1&unit_of_measure=levels#eyJhcHBpZCI6NzAsInN0ZXBzIjpbMSwyOSwyNSwzMSwyNiwzMCwzMF0sImRhdGEiOltbIm1ham9yX2FyZWEiLCIwIl0sWyJhcmVhIixbIlhYIl1dLFsieWVhciIsWyItMSJdXSxbInRhYmxlaWQiLCIyMSJdLFsieWVhcl9lbmQiLCItMSJdLFsic3RhdGUiLFsiMCJdXSxbInN0YXRpc3RpYyIsIjMiXSxbInllYXJiZWdpbiIsIi0xIl0sWyJ1bml0X29mX21lYXN1cmUiLCJMZXZlbHMiXV26,Connecticut,1555,1537,1729,1927,2020,2119,2109,2227,2403,2528,2360,2440,2499,2612,2722,2777,2963,3100,3323,3575,3689,4144,4485,4764,5050,5537,6024,6547,6974,7678,8441,9398,10598,11767,12646,13799,15399,16298,17318,18491,20591,22273,23005,23226,24644,25270,25923,27096,27794,28981,30870,32285,34766,36660,37949,38568,40352,41636,44621,47307,50944,52338,53613,54085,54461,51845,53970,55283,56979,58242,61208,62942,65283,68459,69134,76114
10000,https://apps.bea.gov/iTable/?reqid=70&step=30&isuri=1&major_area=0&area=xx&year=-1&tableid=21&category=421&area_type=0&year_end=-1&classification=non-industry&state=0&statistic=3&yearbegin=-1&unit_of_measure=levels#eyJhcHBpZCI6NzAsInN0ZXBzIjpbMSwyOSwyNSwzMSwyNiwzMCwzMF0sImRhdGEiOltbIm1ham9yX2FyZWEiLCIwIl0sWyJhcmVhIixbIlhYIl1dLFsieWVhciIsWyItMSJdXSxbInRhYmxlaWQiLCIyMSJdLFsieWVhcl9lbmQiLCItMSJdLFsic3RhdGUiLFsiMCJdXSxbInN0YXRpc3RpYyIsIjMiXSxbInllYXJiZWdpbiIsIi0xIl0sWyJ1bml0X29mX21lYXN1cmUiLCJMZXZlbHMiXV27,Delaware,1391,1520,1721,1791,1850,1936,1936,2082,2343,2246,2304,2343,2414,2441,2518,2647,2789,3004,3122,3289,3503,3753,3949,4248,4584,5020,5412,5848,6258,6721,7335,7985,9034,9851,10689,11431,12541,13473,14101,15021,16345,17854,18508,19403,19898,20298,20716,21565,22518,22957,25109,26670,29217,32112,33512,34060,34710,34406,35794,36453,36279,37190,37145,39039,39103,38989,40291,41771,42636,44182,46705,47332,48988,52031,54838,58787
11000,https://apps.bea.gov/iTable/?reqid=70&step=30&isuri=1&major_area=0&area=xx&year=-1&tableid=21&category=421&area_type=0&year_end=-1&classification=non-industry&state=0&statistic=3&yearbegin=-1&unit_of_measure=levels#eyJhcHBpZCI6NzAsInN0ZXBzIjpbMSwyOSwyNSwzMSwyNiwzMCwzMF0sImRhdGEiOltbIm1ham9yX2FyZWEiLCIwIl0sWyJhcmVhIixbIlhYIl1dLFsieWVhciIsWyItMSJdXSxbInRhYmxlaWQiLCIyMSJdLFsieWVhcl9lbmQiLCItMSJdLFsic3RhdGUiLFsiMCJdXSxbInN0YXRpc3RpYyIsIjMiXSxbInllYXJiZWdpbiIsIi0xIl0sWyJ1bml0X29mX21lYXN1cmUiLCJMZXZlbHMiXV28,District of Columbia,1937,2085,2218,2275,2348,2307,2345,2334,2538,2615,2671,2699,2702,2838,3003,3174,3417,3706,3860,4159,4429,4289,4832,5482,5973,6362,7040,7803,8307,9191,9880,10479,11388,12072,12953,13820,15020,15864,16628,17359,19451,20771,22493,23978,25424,26661,27352,27978,29265,30525,32269,33392,36365,37650,39006,39835,43265,44991,47151,49912,51376,52307,55444,57947,57885,56871,59757,62941,65669,67462,69518,70144,76320,82036,82046,89538
